action_taken_name,loan_purpose_name,denial_reason_name_1
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home purchase,Other
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Home improvement,Unverifiable information
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Refinancing,Unverifiable information
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home improvement,Collateral
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home purchase,Other
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Refinancing,Employment history
Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home improvement,Credit application incomplete
Application denied by financial institution,Home improvement,Other
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Unverifiable information
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home purchase,Credit history
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home purchase,Unverifiable information
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Unverifiable information
Application denied by financial institution,Home purchase,Other
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Home purchase,Other
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home improvement,Collateral
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Home purchase,Other
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Home purchase,Credit history
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home improvement,Credit application incomplete
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Home improvement,Credit application incomplete
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home purchase,Credit history
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home purchase,Unverifiable information
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Home improvement,Other
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home purchase,Employment history
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home improvement,Employment history
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Home purchase,Other
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home purchase,Other
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Home purchase,Credit history
Application denied by financial institution,Home purchase,Other
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Refinancing,"Insufficient cash (downpayment, closing costs)"
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Home purchase,Credit history
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Home purchase,Other
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home improvement,Collateral
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,"Insufficient cash (downpayment, closing costs)"
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home purchase,Other
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Home purchase,Other
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home improvement,Collateral
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home purchase,Other
Application denied by financial institution,Home purchase,Employment history
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Home improvement,Collateral
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home improvement,Collateral
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home improvement,Collateral
Application denied by financial institution,Home purchase,Other
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home purchase,Credit history
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home purchase,Credit history
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Home purchase,Credit history
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Home purchase,Unverifiable information
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home purchase,Credit history
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home purchase,Credit history
Application denied by financial institution,Home improvement,Collateral
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home purchase,Unverifiable information
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Home purchase,Employment history
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home purchase,Other
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Home purchase,Other
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home improvement,Unverifiable information
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
Application denied by financial institution,Home purchase,Unverifiable information
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home purchase,Credit history
Application denied by financial institution,Home purchase,Credit history
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home improvement,Collateral
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home purchase,Credit history
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Home purchase,Other
Application denied by financial institution,Refinancing,Unverifiable information
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Home purchase,Other
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home improvement,Credit application incomplete
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Refinancing,"Insufficient cash (downpayment, closing costs)"
Application denied by financial institution,Home improvement,Other
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home purchase,Employment history
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home purchase,Credit history
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home improvement,Collateral
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home improvement,Credit application incomplete
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home purchase,Unverifiable information
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Refinancing,"Insufficient cash (downpayment, closing costs)"
Application denied by financial institution,Home purchase,Unverifiable information
Application denied by financial institution,Home purchase,Credit history
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home purchase,Other
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home purchase,Unverifiable information
Application denied by financial institution,Home purchase,Unverifiable information
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Home improvement,Collateral
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home improvement,Other
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home improvement,Collateral
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home improvement,Other
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Unverifiable information
Application denied by financial institution,Home improvement,Credit application incomplete
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home improvement,Other
Application denied by financial institution,Home purchase,Other
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home purchase,Other
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home purchase,Other
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Home purchase,Credit history
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Home improvement,Collateral
Application denied by financial institution,Home purchase,Credit history
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home improvement,Other
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Home improvement,Other
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Refinancing,Unverifiable information
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Home purchase,Other
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home improvement,Other
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home purchase,Debt-to-income ratio
Application denied by financial institution,Home purchase,Credit application incomplete
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Home purchase,Unverifiable information
Application denied by financial institution,Refinancing,Other
Application denied by financial institution,Refinancing,Credit history
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home improvement,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home improvement,Credit application incomplete
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Refinancing,Collateral
Application denied by financial institution,Home purchase,Collateral
Application denied by financial institution,Refinancing,Credit application incomplete
Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
Application denied by financial institution,Refinancing,Debt-to-income ratio
Application denied by financial institution,Home improvement,Credit history
Application denied by financial institution,Home purchase,Unverifiable information
